Experiment,Organ,DSC_mean,DSC_std,DSC_mean±std,HD95_mean,HD95_std,HD95_mean±std,NSD_mean,NSD_std,NSD_mean±std,ASD_mean,ASD_std,ASD_mean±std
Synapse_CPS_baseline_syn20_local,spleen,0.8546,0.1077,0.8546±0.1077,30.9299,34.6574,30.9299±34.6574,0.8088,0.1646,0.8088±0.1646,10.231,10.8545,10.2310±10.8545
Synapse_CPS_baseline_syn20_local,r.kidney,0.9012,0.0368,0.9012±0.0368,5.239,4.4538,5.2390±4.4538,0.9149,0.0558,0.9149±0.0558,1.3485,0.9278,1.3485±0.9278
Synapse_CPS_baseline_syn20_local,l.kidney,0.8836,0.0487,0.8836±0.0487,8.9073,8.4677,8.9073±8.4677,0.8907,0.0675,0.8907±0.0675,1.8719,1.3743,1.8719±1.3743
Synapse_CPS_baseline_syn20_local,gallbladder,0.2671,0.2126,0.2671±0.2126,50.6631,55.5668,50.6631±55.5668,0.4281,0.3288,0.4281±0.3288,45.0615,58.8155,45.0615±58.8155
Synapse_CPS_baseline_syn20_local,esophagus,0.4024,0.2155,0.4024±0.2155,5.7998,4.3285,5.7998±4.3285,0.6197,0.252,0.6197±0.2520,0.7165,0.3011,0.7165±0.3011
Synapse_CPS_baseline_syn20_local,liver,0.9274,0.0352,0.9274±0.0352,2.7399,1.9561,2.7399±1.9561,0.8979,0.077,0.8979±0.0770,0.79,0.4181,0.7900±0.4181
Synapse_CPS_baseline_syn20_local,stomach,0.648,0.1245,0.6480±0.1245,12.0682,7.104,12.0682±7.1040,0.648,0.1261,0.6480±0.1261,2.6084,2.1571,2.6084±2.1571
Synapse_CPS_baseline_syn20_local,aorta,0.797,0.1115,0.7970±0.1115,18.0549,11.2678,18.0549±11.2678,0.8357,0.1101,0.8357±0.1101,0.5856,0.3891,0.5856±0.3891
Synapse_CPS_baseline_syn20_local,ivc,0.7914,0.0386,0.7914±0.0386,2.1411,0.6448,2.1411±0.6448,0.8846,0.0618,0.8846±0.0618,0.7339,0.2532,0.7339±0.2532
Synapse_CPS_baseline_syn20_local,portal and splenic vein,0.668,0.0808,0.6680±0.0808,6.6003,6.0139,6.6003±6.0139,0.8334,0.0967,0.8334±0.0967,1.3297,1.6781,1.3297±1.6781
Synapse_CPS_baseline_syn20_local,pancreas,0.455,0.1015,0.4550±0.1015,9.3054,6.77,9.3054±6.7700,0.6016,0.134,0.6016±0.1340,3.1627,3.0482,3.1627±3.0482
Synapse_CPS_baseline_syn20_local,right adrenal gland,0.4474,0.1872,0.4474±0.1872,4.1207,2.2532,4.1207±2.2532,0.7292,0.2085,0.7292±0.2085,1.0611,0.7384,1.0611±0.7384
Synapse_CPS_baseline_syn20_local,Left adrenal gland,0.5738,0.0895,0.5738±0.0895,3.3395,2.7748,3.3395±2.7748,0.8604,0.0785,0.8604±0.0785,1.2818,1.5814,1.2818±1.5814
AMOS_MagicNet_GA_10labeled,spleen,0.8052,0.208,0.8052±0.2080,12.2278,19.1511,12.2278±19.1511,0.8064,0.221,0.8064±0.2210,4.0841,8.722,4.0841±8.7220
AMOS_MagicNet_GA_10labeled,r.kidney,0.8345,0.2131,0.8345±0.2131,10.0106,21.1788,10.0106±21.1788,0.8599,0.2199,0.8599±0.2199,5.1023,17.3696,5.1023±17.3696
AMOS_MagicNet_GA_10labeled,l.kidney,0.8395,0.1686,0.8395±0.1686,14.3632,20.363,14.3632±20.3630,0.8555,0.1748,0.8555±0.1748,4.76,8.0078,4.7600±8.0078
AMOS_MagicNet_GA_10labeled,gallbladder,0.4835,0.3453,0.4835±0.3453,22.2645,37.8429,22.2645±37.8429,0.582,0.3798,0.5820±0.3798,16.5041,36.8975,16.5041±36.8975
AMOS_MagicNet_GA_10labeled,esophagus,0.5035,0.2193,0.5035±0.2193,4.7057,4.559,4.7057±4.5590,0.7364,0.2308,0.7364±0.2308,0.9448,1.2343,0.9448±1.2343
AMOS_MagicNet_GA_10labeled,liver,0.8761,0.1393,0.8761±0.1393,8.076,11.9432,8.0760±11.9432,0.84,0.1646,0.8400±0.1646,2.3427,2.8654,2.3427±2.8654
AMOS_MagicNet_GA_10labeled,stomach,0.6038,0.2514,0.6038±0.2514,12.8054,17.0166,12.8054±17.0166,0.6211,0.244,0.6211±0.2440,4.4091,12.2083,4.4091±12.2083
AMOS_MagicNet_GA_10labeled,aorta,0.8432,0.1247,0.8432±0.1247,7.2339,12.5065,7.2339±12.5065,0.8835,0.1385,0.8835±0.1385,1.9411,2.9241,1.9411±2.9241
AMOS_MagicNet_GA_10labeled,ivc,0.7262,0.1654,0.7262±0.1654,3.3959,3.6509,3.3959±3.6509,0.8212,0.1593,0.8212±0.1593,1.0435,1.0259,1.0435±1.0259
AMOS_MagicNet_GA_10labeled,pancreas,0.5705,0.2208,0.5705±0.2208,7.8705,7.9038,7.8705±7.9038,0.6819,0.2391,0.6819±0.2391,2.0645,3.4461,2.0645±3.4461
AMOS_MagicNet_GA_10labeled,right adrenal gland,0.4841,0.2429,0.4841±0.2429,13.3154,32.7164,13.3154±32.7164,0.7497,0.313,0.7497±0.3130,10.6052,32.4707,10.6052±32.4707
AMOS_MagicNet_GA_10labeled,Left adrenal gland,0.3853,0.2466,0.3853±0.2466,15.5531,33.0722,15.5531±33.0722,0.6223,0.3313,0.6223±0.3313,11.8501,33.5729,11.8501±33.5729
AMOS_MagicNet_GA_10labeled,duodenum,0.4204,0.2044,0.4204±0.2044,8.719,12.1013,8.7190±12.1013,0.5764,0.2174,0.5764±0.2174,3.3531,11.7108,3.3531±11.7108
AMOS_MagicNet_GA_10labeled,bladder,0.6659,0.2954,0.6659±0.2954,15.6356,33.5599,15.6356±33.5599,0.7287,0.2885,0.7287±0.2885,11.4812,33.2544,11.4812±33.2544
AMOS_MagicNet_GA_10labeled,prostate/uterus,0.4785,0.3977,0.4785±0.3977,12.7018,25.5945,12.7018±25.5945,0.5611,0.4214,0.5611±0.4214,7.6585,25.2733,7.6585±25.2733
